t	dx	dy	dz	da	db	dc	
0.0048	1.00007	-2.8818e-07	1.85313e-12	1.49342e-08	1.99948	0.000238236	
0.00485	1.00007	-2.91362e-07	1.91924e-12	1.50991e-08	1.99948	0.000240767	
0.0049	1.00007	-2.94543e-07	1.98682e-12	1.5264e-08	1.99948	0.000243299	
0.00495	1.00007	-2.97725e-07	2.0559e-12	1.54288e-08	1.99948	0.000245831	
0.005	1.00007	-3.00906e-07	2.12648e-12	1.55937e-08	1.99948	0.000248362	
0.00505	1.00007	-3.04088e-07	2.19859e-12	1.57586e-08	1.99948	0.000250894	
0.0051	1.00007	-3.07269e-07	2.27223e-12	1.59234e-08	1.99948	0.000253426	
0.00515	1.00007	-3.10451e-07	2.34742e-12	1.60883e-08	1.99948	0.000255957	
0.0052	1.00007	-3.13632e-07	2.42419e-12	1.62532e-08	1.99948	0.000258489	
0.00525	1.00007	-3.16814e-07	2.50254e-12	1.64181e-08	1.99948	0.000261021	
0.0053	1.00007	-3.19995e-07	2.58249e-12	1.65829e-08	1.99948	0.000263552	
0.00535	1.00007	-3.23177e-07	2.66405e-12	1.67478e-08	1.99948	0.000266084	
0.0054	1.00007	-3.26358e-07	2.74725e-12	1.69127e-08	1.99948	0.000268616	
0.00545	1.00007	-3.2954e-07	2.83209e-12	1.70775e-08	1.99948	0.000271147	
0.0055	1.00007	-3.32721e-07	2.91859e-12	1.72424e-08	1.99948	0.000273679	
0.00555	1.00007	-3.35902e-07	3.00677e-12	1.74073e-08	1.99948	0.000276211	
0.0056	1.00007	-3.39084e-07	3.09665e-12	1.75721e-08	1.99948	0.000278742	
0.00565	1.00007	-3.42265e-07	3.18823e-12	1.7737e-08	1.99948	0.000281274	
0.0057	1.00007	-3.45447e-07	3.28154e-12	1.79019e-08	1.99948	0.000283805	
0.00575	1.00007	-3.48628e-07	3.37659e-12	1.80667e-08	1.99948	0.000286337	
0.0058	1.00007	-3.51809e-07	3.47339e-12	1.82316e-08	1.99948	0.000288869	
0.00585	1.00007	-3.54991e-07	3.57196e-12	1.83965e-08	1.99948	0.0002914	
0.0059	1.00007	-3.58172e-07	3.67232e-12	1.85613e-08	1.99948	0.000293932	
0.00595	1.00007	-3.61353e-07	3.77448e-12	1.87262e-08	1.99948	0.000296463	
0.006	1.00007	-3.64535e-07	3.87846e-12	1.88911e-08	1.99948	0.000298995	
0.00605	1.00007	-3.67716e-07	3.98427e-12	1.90559e-08	1.99948	0.000301527	
0.0061	1.00007	-3.70898e-07	4.09192e-12	1.92208e-08	1.99948	0.000304058	
0.00615	1.00007	-3.74079e-07	4.20145e-12	1.93857e-08	1.99948	0.00030659	
0.0062	1.00007	-3.7726e-07	4.31285e-12	1.95505e-08	1.99948	0.000309121	
0.00625	1.00007	-3.80442e-07	4.42614e-12	1.97154e-08	1.99948	0.000311653	
0.0063	1.00007	-3.83623e-07	4.54135e-12	1.98803e-08	1.99948	0.000314184	
0.00635	1.00007	-3.86804e-07	4.65848e-12	2.00451e-08	1.99948	0.000316716	
0.0064	1.00007	-3.89985e-07	4.77755e-12	2.021e-08	1.99948	0.000319247	
0.00645	1.00007	-3.93167e-07	4.89858e-12	2.03749e-08	1.99948	0.000321779	
0.0065	1.00007	-3.96348e-07	5.02158e-12	2.05397e-08	1.99948	0.00032431	
0.00655	1.00007	-3.99529e-07	5.14657e-12	2.07046e-08	1.99948	0.000326842	
0.0066	1.00007	-4.02711e-07	5.27357e-12	2.08694e-08	1.99948	0.000329373	
0.00665	1.00007	-4.05892e-07	5.40258e-12	2.10343e-08	1.99948	0.000331905	
0.0067	1.00007	-4.09073e-07	5.53362e-12	2.11992e-08	1.99948	0.000334436	
0.00675	1.00007	-4.12254e-07	5.66672e-12	2.1364e-08	1.99948	0.000336968	
0.0068	1.00007	-4.15436e-07	5.80188e-12	2.15289e-08	1.99948	0.000339499	
0.00685	1.00007	-4.18617e-07	5.93912e-12	2.16937e-08	1.99948	0.000342031	
0.0069	1.00007	-4.21798e-07	6.07846e-12	2.18586e-08	1.99948	0.000344562	
0.00695	1.00007	-4.24979e-07	6.21991e-12	2.20235e-08	1.99948	0.000347094	
0.007	1.00007	-4.28161e-07	6.36349e-12	2.21883e-08	1.99948	0.000349625	
0.00705	1.00007	-4.31342e-07	6.50921e-12	2.23532e-08	1.99948	0.000352157	
0.0071	1.00007	-4.34523e-07	6.65709e-12	2.2518e-08	1.99948	0.000354688	
