t	X	z11	Z	dz11	dZ	
0.43	2.04979e-11	0.00358664	-0.00323475	0.00660823	-0.00411288	
0.43	2.04978e-11	0.0035873	-0.00323448	0.00648169	-0.00416406	
0.432	2.04932e-11	0.00360026	-0.00324281	0.0064572	-0.00413899	
0.433	2.04909e-11	0.00360669	-0.00324692	0.00643944	-0.00412872	
0.438	2.04795e-11	0.00363856	-0.00326747	0.00640894	-0.00405266	
0.438889	2.04776e-11	0.00364381	-0.00327125	0.0064834	-0.00400588	
0.44	2.04751e-11	0.00365078	-0.00327579	0.00647346	-0.00399091	
0.44	2.04749e-11	0.00365144	-0.00327552	0.00634754	-0.0040431	
0.442	2.04706e-11	0.00366413	-0.00328361	0.00632266	-0.0040188	
0.443	2.04683e-11	0.00367042	-0.0032876	0.00630472	-0.00400896	
0.448	2.0457e-11	0.00370162	-0.00330756	0.00627311	-0.00393456	
0.448889	2.0455e-11	0.00370675	-0.00331124	0.00634698	-0.00388745	
0.45	2.04525e-11	0.00371357	-0.00331565	0.0063368	-0.00387288	
0.45	2.04524e-11	0.00371422	-0.00331537	0.00621149	-0.00392606	
0.452	2.04478e-11	0.00372665	-0.00332323	0.00618623	-0.00390254	
0.453	2.04456e-11	0.0037328	-0.0033271	0.00616812	-0.00389313	
0.458	2.04343e-11	0.00376332	-0.00334649	0.0061354	-0.00382043	
0.458889	2.04324e-11	0.00376833	-0.00335007	0.00620868	-0.00377299	
0.46	2.04299e-11	0.00377499	-0.00335436	0.00619825	-0.00375884	
0.46	2.04298e-11	0.00377564	-0.00335408	0.00607357	-0.003813	
0.462	2.04251e-11	0.00378779	-0.0033617	0.00604793	-0.00379026	
0.463	2.04228e-11	0.0037938	-0.00336547	0.00602966	-0.00378129	
0.468	2.04116e-11	0.00382362	-0.0033843	0.00599582	-0.00371032	
0.468889	2.04097e-11	0.00382851	-0.00338779	0.00606851	-0.00366258	
0.47	2.04073e-11	0.00383502	-0.00339196	0.00605783	-0.00364884	
0.47	2.04071e-11	0.00383567	-0.00339167	0.00593379	-0.00370396	
0.472	2.04027e-11	0.00384753	-0.00339908	0.00590777	-0.00368202	
0.473	2.04005e-11	0.00385341	-0.00340273	0.00588933	-0.00367349	
0.478	2.03893e-11	0.00388253	-0.00342104	0.00585439	-0.00360427	
0.478889	2.03874e-11	0.00388729	-0.00342444	0.00592648	-0.00355625	
0.48	2.0385e-11	0.00389364	-0.00342848	0.00591555	-0.00354294	
0.48	2.03848e-11	0.00389429	-0.00342819	0.00579216	-0.00359899	
0.482	2.03804e-11	0.00390587	-0.00343539	0.00576576	-0.00357786	
0.483	2.03781e-11	0.00391161	-0.00343894	0.00574716	-0.00356978	
0.488	2.03671e-11	0.00394001	-0.00345674	0.00571112	-0.00350235	
0.488889	2.03652e-11	0.00394465	-0.00346005	0.0057826	-0.00345405	
0.49	2.03627e-11	0.00395084	-0.00346398	0.00577143	-0.00344117	
0.49	2.03626e-11	0.00395148	-0.00346368	0.0056487	-0.00349815	
0.492	2.03581e-11	0.00396278	-0.00347068	0.00562192	-0.00347784	
0.493	2.03559e-11	0.00396837	-0.00347414	0.00560316	-0.0034702	
0.498	2.03449e-11	0.00399605	-0.00349144	0.00556602	-0.00340459	
0.498889	2.0343e-11	0.00400057	-0.00349466	0.00563688	-0.00335604	
