t	X	z11	Z	dz11	dZ	
4.8	4.04733e-17	-0.00571455	-0.00571455	0.0423111	0.0423111	
4.81	1.34169e-17	-0.00567223	-0.00567223	0.0423218	0.0423218	
4.82	3.91121e-17	-0.00562991	-0.00562991	0.0423107	0.0423107	
4.83	1.54619e-17	-0.00558762	-0.00558762	0.0422779	0.0422779	
4.84	4.30882e-17	-0.00554537	-0.00554537	0.0422234	0.0422234	
4.85	1.8558e-17	-0.00550318	-0.00550318	0.0421473	0.0421473	
4.86	4.05015e-17	-0.00546109	-0.00546109	0.0420495	0.0420495	
4.87	1.59236e-17	-0.0054191	-0.0054191	0.0419301	0.0419301	
4.88	3.83801e-17	-0.00537724	-0.00537724	0.0417891	0.0417891	
4.89	1.56637e-17	-0.00533553	-0.00533553	0.0416266	0.0416266	
4.9	4.16141e-17	-0.00529399	-0.00529399	0.0414427	0.0414427	
4.91	1.68214e-17	-0.00525265	-0.00525265	0.0412374	0.0412374	
4.92	4.06314e-17	-0.00521153	-0.00521153	0.0410109	0.0410109	
4.93	1.89687e-17	-0.00517064	-0.00517064	0.0407631	0.0407631	
4.94	3.72265e-17	-0.00513001	-0.00513001	0.0404943	0.0404943	
4.95	1.77173e-17	-0.00508966	-0.00508966	0.0402044	0.0402044	
4.96	3.78254e-17	-0.00504962	-0.00504962	0.0398937	0.0398937	
4.97	1.66876e-17	-0.00500989	-0.00500989	0.0395623	0.0395623	
4.98	3.79176e-17	-0.0049705	-0.0049705	0.0392103	0.0392103	
4.99	1.37251e-17	-0.00493148	-0.00493148	0.0388377	0.0388377	
5	4.15877e-17	-0.00489284	-0.00489284	0.0384449	0.0384449	
5.01	2.00836e-17	-0.0048546	-0.0048546	0.0380319	0.0380319	
5.02	3.38547e-17	-0.00481678	-0.00481678	0.0375989	0.0375989	
5.03	2.92123e-17	-0.00477941	-0.00477941	0.037146	0.037146	
5.04	2.92243e-17	-0.0047425	-0.0047425	0.0366735	0.0366735	
5.05	2.88634e-17	-0.00470607	-0.00470607	0.0361816	0.0361816	
5.06	2.71388e-17	-0.00467015	-0.00467015	0.0356704	0.0356704	
5.07	3.18232e-17	-0.00463474	-0.00463474	0.0351401	0.0351401	
5.08	1.89071e-17	-0.00459988	-0.00459988	0.034591	0.034591	
5.09	3.43245e-17	-0.00456557	-0.00456557	0.0340233	0.0340233	
5.1	2.65079e-17	-0.00453184	-0.00453184	0.0334372	0.0334372	
