t	dx	dy	dz	da	db	dc	
0.00122492	0.000372798	-1.19004e-09	-1.24521e-15	6.16708e-11	0.00633947	5.02852e-08	
0.0012291	0.000403749	-1.21077e-09	-1.2669e-15	6.27448e-11	0.00613321	5.0514e-08	
0.0012291	0.000946752	-1.51489e-09	-1.58513e-15	7.85055e-11	0.00196381	5.10203e-08	
0.00123662	0.000964745	-1.53107e-09	-1.60206e-15	7.93439e-11	0.00188218	5.1397e-08	
0.00124038	0.000963586	-1.53347e-09	-1.60457e-15	7.94683e-11	0.00191933	5.15885e-08	
0.00125919	0.00102675	-1.58411e-09	-1.65755e-15	8.20922e-11	0.00157565	5.25247e-08	
0.00126253	0.00111986	-1.63899e-09	-1.71498e-15	8.49365e-11	0.000885785	5.26658e-08	
0.00126671	0.00112004	-1.64248e-09	-1.71863e-15	8.51173e-11	0.000915783	5.28781e-08	
0.00126671	0.000995695	-1.5728e-09	-1.64572e-15	8.15065e-11	0.00187059	5.29165e-08	
0.00127509	0.00100568	-1.58519e-09	-1.65868e-15	8.21484e-11	0.00185686	5.33392e-08	
0.00127928	0.00100526	-1.58835e-09	-1.66199e-15	8.23122e-11	0.00189157	5.35504e-08	
0.00130023	0.00103992	-1.62474e-09	-1.70007e-15	8.41981e-11	0.00178282	5.46072e-08	
0.00130395	0.00108974	-1.65566e-09	-1.73242e-15	8.58003e-11	0.00142824	5.4796e-08	
0.00130861	0.00109005	-1.65961e-09	-1.73655e-15	8.6005e-11	0.00146079	5.50307e-08	
0.00130861	0.00102375	-1.62249e-09	-1.69771e-15	8.40812e-11	0.00196988	5.50294e-08	
0.00131919	0.00103028	-1.63473e-09	-1.71051e-15	8.47155e-11	0.00199922	5.55631e-08	
0.00132448	0.0010352	-1.64178e-09	-1.71789e-15	8.50808e-11	0.0020012	5.58302e-08	
0.00135094	0.00104858	-1.67071e-09	-1.74816e-15	8.65803e-11	0.00209725	5.7164e-08	
0.00135564	0.00103764	-1.66836e-09	-1.7457e-15	8.64583e-11	0.0022166	5.7399e-08	
0.00136152	0.00104286	-1.67606e-09	-1.75375e-15	8.68573e-11	0.00222064	5.76958e-08	
