t	theta1	theta2	psi	y	z	dtheta1	dtheta2	dpsi	ddtheta1	ddtheta2	ddpsi	Fsb12	Fsb13	Fb1b22	Fb1b23	Fb2d2	Fb2d3	Fsd3	
0.0388889	1.05102	0.118026	-0.0101732	2.16068	-0.13907	0.0525505	0.0957267	-0.52301	1.36431	2.42858	-13.4318	0	0	0	0	0	0	0	
0.04	1.05108	0.118134	-0.0107627	2.16049	-0.139175	0.0540665	0.098424	-0.537936	1.36571	2.42565	-13.4303	0	0	0	0	0	0	0	
0.04	1.05108	0.118134	-0.0107628	2.16049	-0.139173	0.0540587	0.0984298	-0.537959	1.36569	2.42567	-13.4305	0	0	0	0	0	0	0	
0.042	1.05119	0.118331	-0.0118387	2.16014	-0.139364	0.05679	0.103281	-0.56482	1.36828	2.42022	-13.4278	0	0	0	0	0	0	0	
0.043	1.05125	0.118441	-0.0124371	2.15995	-0.13947	0.0581616	0.105695	-0.578244	1.36977	2.41729	-13.426	0	0	0	0	0	0	0	
0.048	1.05156	0.118999	-0.015496	2.15895	-0.140017	0.0650326	0.117741	-0.645345	1.37765	2.40174	-13.4177	0	0	0	0	0	0	0	
0.0488889	1.05161	0.119104	-0.0160748	2.15875	-0.140122	0.0662639	0.11987	-0.657253	1.37922	2.39874	-13.416	0	0	0	0	0	0	0	
0.05	1.05169	0.119239	-0.0168134	2.15851	-0.140254	0.0677968	0.122533	-0.672161	1.38122	2.39493	-13.414	0	0	0	0	0	0	0	
0.05	1.05169	0.11924	-0.0168137	2.15851	-0.140252	0.0677885	0.12254	-0.672186	1.38119	2.39496	-13.4143	0	0	0	0	0	0	0	
0.052	1.05182	0.119485	-0.018158	2.15807	-0.140494	0.0705509	0.127329	-0.699014	1.3849	2.38789	-13.4108	0	0	0	0	0	0	0	
0.053	1.0519	0.119618	-0.0188906	2.15783	-0.140626	0.0719404	0.129709	-0.712421	1.38698	2.38413	-13.4086	0	0	0	0	0	0	0	
0.058	1.05227	0.120296	-0.0226201	2.15659	-0.141303	0.0789053	0.141578	-0.779429	1.39794	2.36431	-13.3983	0	0	0	0	0	0	0	
0.0588889	1.05235	0.120422	-0.023318	2.15635	-0.141432	0.0801554	0.143673	-0.791317	1.40009	2.36052	-13.3961	0	0	0	0	0	0	0	
0.06	1.05244	0.120583	-0.0242056	2.15606	-0.141594	0.0817118	0.146294	-0.806203	1.40282	2.35572	-13.3937	0	0	0	0	0	0	0	
0.06	1.05244	0.120584	-0.0242059	2.15606	-0.141591	0.0817028	0.146301	-0.806231	1.4028	2.35575	-13.394	0	0	0	0	0	0	0	
0.062	1.0526	0.120877	-0.0258184	2.15552	-0.141886	0.0845084	0.151012	-0.833019	1.40786	2.34686	-13.3897	0	0	0	0	0	0	0	
0.063	1.05269	0.121034	-0.0266849	2.15523	-0.142045	0.0859226	0.153348	-0.846403	1.41066	2.34217	-13.3871	0	0	0	0	0	0	0	
0.068	1.05313	0.121829	-0.031084	2.15374	-0.142858	0.0930154	0.164995	-0.913296	1.42536	2.31751	-13.3745	0	0	0	0	0	0	0	
0.0688889	1.05322	0.121976	-0.0319009	2.15346	-0.143012	0.0942908	0.167048	-0.925161	1.42822	2.31283	-13.3718	0	0	0	0	0	0	0	
0.07	1.05332	0.122163	-0.0329372	2.15311	-0.143205	0.0958788	0.169615	-0.940021	1.43185	2.3069	-13.3689	0	0	0	0	0	0	0	
0.07	1.05332	0.122164	-0.0329375	2.15311	-0.143202	0.0958691	0.169623	-0.940051	1.43182	2.30693	-13.3693	0	0	0	0	0	0	0	
0.072	1.05351	0.122503	-0.0348176	2.15247	-0.143552	0.0987327	0.174236	-0.96679	1.43854	2.29598	-13.3641	0	0	0	0	0	0	0	
0.073	1.05362	0.122683	-0.0358178	2.15213	-0.14374	0.10018	0.176519	-0.980147	1.4422	2.29023	-13.3609	0	0	0	0	0	0	0	
0.078	1.05414	0.123594	-0.0408853	2.15038	-0.144697	0.107442	0.187893	-1.0469	1.46145	2.26008	-13.3456	0	0	0	0	0	0	0	
0.0788889	1.05423	0.123761	-0.0418208	2.15005	-0.144877	0.10875	0.189893	-1.05874	1.46517	2.25438	-13.3424	0	0	0	0	0	0	0	
0.08	1.05435	0.123974	-0.0430056	2.14964	-0.145102	0.11038	0.192395	-1.07356	1.46989	2.24716	-13.3389	0	0	0	0	0	0	0	
0.08	1.05435	0.123975	-0.043006	2.14964	-0.145099	0.110369	0.192403	-1.0736	1.46985	2.2472	-13.3394	0	0	0	0	0	0	0	
0.082	1.05457	0.12436	-0.0451532	2.14889	-0.145508	0.113309	0.196897	-1.10028	1.47859	2.2339	-13.3331	0	0	0	0	0	0	0	
0.083	1.05469	0.124562	-0.0462868	2.14849	-0.145726	0.114798	0.199115	-1.1136	1.4833	2.22693	-13.3292	0	0	0	0	0	0	0	
0.088	1.05528	0.125585	-0.0520212	2.14647	-0.146834	0.12228	0.210156	-1.18019	1.50806	2.19053	-13.3108	0	0	0	0	0	0	0	
0.0888889	1.05539	0.125771	-0.0530751	2.14609	-0.147041	0.123631	0.212094	-1.19199	1.51281	2.18368	-13.307	0	0	0	0	0	0	0	
0.09	1.05553	0.126009	-0.0544079	2.14561	-0.147301	0.125314	0.214516	-1.20678	1.51885	2.175	-13.3026	0	0	0	0	0	0	0	
0.09	1.05553	0.12601	-0.0544084	2.14562	-0.147297	0.125303	0.214525	-1.20682	1.51881	2.17504	-13.3032	0	0	0	0	0	0	0	
0.092	1.05578	0.126439	-0.056822	2.14476	-0.147768	0.12834	0.218875	-1.23342	1.52996	2.15906	-13.2955	0	0	0	0	0	0	0	
0.093	1.05591	0.126663	-0.0580887	2.1443	-0.148018	0.129884	0.221014	-1.24671	1.53594	2.15071	-13.2909	0	0	0	0	0	0	0	
0.098	1.05658	0.127794	-0.064488	2.14198	-0.149286	0.137646	0.231657	-1.31309	1.56731	2.10719	-13.2684	0	0	0	0	0	0	0	
0.0988889	1.05671	0.128	-0.06566	2.14154	-0.149523	0.139051	0.233519	-1.32485	1.5733	2.09903	-13.2638	0	0	0	0	0	0	0	
0.1	1.05686	0.128261	-0.0671404	2.141	-0.149819	0.140802	0.235847	-1.33959	1.58092	2.08868	-13.2585	0	0	0	0	0	0	0	
0.1	1.05686	0.128263	-0.067141	2.14101	-0.149815	0.140789	0.235856	-1.33964	1.58087	2.08873	-13.2591	0	0	0	0	0	0	0	
0.102	1.05714	0.128734	-0.0698203	2.14003	-0.150352	0.143951	0.240034	-1.36615	1.59493	2.06971	-13.2496	0	0	0	0	0	0	0	
0.103	1.05729	0.12898	-0.0712196	2.13951	-0.150635	0.145563	0.24208	-1.37939	1.60241	2.0598	-13.244	0	0	0	0	0	0	0	
0.108	1.05804	0.130215	-0.0782817	2.13688	-0.152073	0.153677	0.252248	-1.44553	1.64165	2.00822	-13.2162	0	0	0	0	0	0	0	
0.108889	1.05818	0.130438	-0.0795712	2.13639	-0.152341	0.15515	0.254021	-1.45723	1.64912	1.99856	-13.2105	0	0	0	0	0	0	0	
0.11	1.05835	0.130722	-0.0811987	2.13577	-0.152675	0.156987	0.256235	-1.47191	1.6586	1.98634	-13.2039	0	0	0	0	0	0	0	
0.11	1.05835	0.130724	-0.0811995	2.13578	-0.152671	0.156972	0.256246	-1.47197	1.65855	1.98638	-13.2046	0	0	0	0	0	0	0	
0.112	1.05866	0.131236	-0.0841434	2.13467	-0.153278	0.160289	0.260219	-1.49837	1.67604	1.96393	-13.1928	0	0	0	0	0	0	0	
0.113	1.05883	0.131502	-0.0856748	2.13409	-0.153597	0.161987	0.262155	-1.51155	1.68531	1.95225	-13.1858	0	0	0	0	0	0	0	
0.118	1.05966	0.132836	-0.0933968	2.13112	-0.155215	0.170539	0.271762	-1.57737	1.73383	1.89159	-13.1509	0	0	0	0	0	0	0	
0.118889	1.05981	0.133076	-0.0948033	2.13057	-0.155516	0.172096	0.27343	-1.58902	1.74302	1.88027	-13.1438	0	0	0	0	0	0	0	
0.12	1.06001	0.133381	-0.0965773	2.12989	-0.155891	0.174038	0.275512	-1.60362	1.75469	1.86594	-13.1354	0	0	0	0	0	0	0	
0.12	1.06	0.133384	-0.0965783	2.1299	-0.155886	0.174021	0.275524	-1.60368	1.75464	1.86597	-13.1362	0	0	0	0	0	0	0	
