t	ddtheta1	ddtheta2	ddpsi	ddy	ddz	
0.808	-13.9464	4.50108	-10.4025	-17.2994	-9.45068	
0.812	-13.7321	4.62721	-10.8519	-17.7533	-9.69865	
0.832	-12.7088	5.14701	-12.4633	-18.7883	-10.2641	
0.835556	-12.5617	5.19146	-12.5905	-18.8546	-10.3003	
0.84	-12.3785	5.29473	-12.7744	-18.7339	-10.2344	
0.84	-12.36	5.34763	-12.8446	-18.5611	-10.14	
0.848	-12.045	5.49189	-13.0844	-18.1582	-9.91985	
0.852	-11.9138	5.55396	-13.1419	-17.8773	-9.76643	
0.872	-11.3422	5.69426	-13.1906	-16.1364	-8.81534	
0.875556	-11.2514	5.68073	-13.1675	-15.845	-8.65614	
0.88	-11.162	5.67345	-13.1131	-15.3961	-8.41092	
0.88	-11.1774	5.69305	-13.0998	-15.3047	-8.36102	
0.888	-11.0351	5.65065	-12.9761	-14.4754	-7.90796	
0.892	-10.9731	5.6161	-12.9044	-14.0833	-7.69372	
0.912	-10.7465	5.34221	-12.486	-12.1341	-6.62888	
0.915556	-10.7164	5.27693	-12.4113	-11.7942	-6.4432	
0.92	-10.6875	5.19072	-12.3097	-11.4047	-6.23041	
0.92	-10.6919	5.19213	-12.3014	-11.428	-6.24315	
0.928	-10.6559	5.02376	-12.1132	-10.743	-5.86893	
0.932	-10.6391	4.9325	-12.0278	-10.4361	-5.70128	
0.952	-10.6255	4.43363	-11.5897	-8.98667	-4.90944	
0.955556	-10.6345	4.33998	-11.514	-8.73358	-4.77118	
0.96	-10.6444	4.21852	-11.4246	-8.46242	-4.62304	
0.96	-10.6402	4.21645	-11.4274	-8.49742	-4.64216	
0.968	-10.6713	3.99386	-11.2658	-8.02749	-4.38544	
0.972	-10.6861	3.88064	-11.1964	-7.81916	-4.27163	
0.992	-10.8174	3.30569	-10.8474	-6.85582	-3.74535	
0.995556	-10.851	3.20395	-10.7854	-6.69081	-3.6552	
1	-10.889	3.07497	-10.7177	-6.51374	-3.55847	
1	-10.8831	3.07323	-10.7251	-6.5356	-3.57041	
1.008	-10.9619	2.84193	-10.6033	-6.23078	-3.40389	
1.012	-11.0003	2.72762	-10.5513	-6.09569	-3.33009	
1.032	-11.2325	2.16612	-10.2909	-5.47761	-2.99243	
1.03556	-11.2808	2.06987	-10.2429	-5.37415	-2.93591	
1.04	-11.3374	1.94956	-10.193	-5.26096	-2.87408	
1.04	-11.3327	1.94828	-10.2014	-5.27212	-2.88017	
1.048	-11.441	1.73546	-10.1116	-5.07812	-2.77419	
1.052	-11.4929	1.63272	-10.0725	-4.99209	-2.72719	
1.072	-11.7721	1.14144	-9.87793	-4.60167	-2.5139	
1.07556	-11.8239	1.06008	-9.84099	-4.53784	-2.47903	
1.08	-11.8854	0.959429	-9.80358	-4.4667	-2.44017	
1.08	-11.8827	0.958166	-9.8112	-4.47198	-2.44305	
1.088	-11.9951	0.782829	-9.74439	-4.35073	-2.37682	
1.092	-12.0466	0.700878	-9.7142	-4.29717	-2.34755	
1.112	-12.2999	0.322872	-9.56721	-4.05758	-2.21666	
1.11556	-12.3416	0.263704	-9.53914	-4.01959	-2.19591	
1.12	-12.3907	0.191533	-9.51099	-3.97693	-2.17261	
1.12	-12.3899	0.190187	-9.51707	-3.97933	-2.17392	
1.128	-12.4751	0.0677753	-9.46761	-3.90759	-2.13473	
1.132	-12.5098	0.0140726	-9.44452	-3.87651	-2.11775	
1.152	-12.6591	-0.216153	-9.33701	-3.74306	-2.04484	
1.15556	-12.6782	-0.247779	-9.31715	-3.72331	-2.03405	
1.16	-12.6984	-0.284697	-9.29715	-3.70156	-2.02217	
1.16	-12.6983	-0.285772	-9.30122	-3.70259	-2.02273	
1.168	-12.728	-0.343736	-9.26719	-3.66761	-2.00363	
1.172	-12.7328	-0.364112	-9.25108	-3.65377	-1.99607	
1.192	-12.7219	-0.425381	-9.18188	-3.60396	-1.96885	
1.19556	-12.711	-0.427015	-9.17041	-3.59894	-1.96611	
1.2	-12.6932	-0.425499	-9.15858	-3.59465	-1.96377	
1.2	-12.6927	-0.425732	-9.16034	-3.59494	-1.96392	
1.208	-12.6531	-0.414515	-9.14149	-3.59115	-1.96185	
1.212	-12.6232	-0.400326	-9.13283	-3.5926	-1.96264	
1.232	-12.4418	-0.29141	-9.10252	-3.61927	-1.97722	
1.23556	-12.4023	-0.264183	-9.09961	-3.62825	-1.98212	
1.24	-12.3486	-0.225847	-9.09604	-3.64099	-1.98908	
1.24	-12.3474	-0.224938	-9.09531	-3.64073	-1.98894	
1.248	-12.2454	-0.148453	-9.09139	-3.66785	-2.00375	
1.252	-12.1865	-0.102817	-9.09052	-3.68515	-2.01321	
1.272	-11.8741	0.156747	-9.09897	-3.79374	-2.07253	
1.27556	-11.8146	0.208603	-9.10461	-3.81833	-2.08596	
1.28	-11.7375	0.277856	-9.10933	-3.85042	-2.10349	
1.28	-11.7364	0.27965	-9.10609	-3.84963	-2.10306	
1.288	-11.5959	0.410117	-9.11686	-3.91245	-2.13738	
1.292	-11.5212	0.480827	-9.12417	-3.94877	-2.15722	
1.312	-11.148	0.857232	-9.17248	-4.15844	-2.27176	
1.31556	-11.0808	0.927633	-9.18691	-4.20294	-2.29608	
1.32	-10.997	1.01947	-9.20054	-4.26	-2.32725	
1.32	-10.9972	1.02157	-9.19502	-4.2586	-2.32648	
1.328	-10.8487	1.19077	-9.22154	-4.36815	-2.38633	
1.332	-10.7728	1.27873	-9.23818	-4.42992	-2.42008	
1.352	-10.4108	1.73213	-9.33214	-4.77771	-2.61007	
1.35556	-10.3475	1.81413	-9.35641	-4.85008	-2.64961	
1.36	-10.2717	1.9194	-9.38083	-4.94208	-2.69987	
1.36	-10.2742	1.92138	-9.37344	-4.9397	-2.69857	
1.368	-10.1435	2.11265	-9.41912	-5.11517	-2.79443	
1.372	-10.0782	2.20955	-9.44732	-5.21319	-2.84798	
1.392	-9.78092	2.69684	-9.59778	-5.75928	-3.14631	
1.39556	-9.72951	2.78245	-9.63358	-5.87224	-3.20802	
1.4	-9.67172	2.89106	-9.67144	-6.01452	-3.28575	
1.4	-9.67654	2.89293	-9.66272	-6.01014	-3.28335	
1.408	-9.58016	3.08747	-9.73217	-6.28039	-3.43099	
1.412	-9.53215	3.18367	-9.77418	-6.43058	-3.51304	
1.432	-9.32985	3.65186	-9.98954	-7.25916	-3.9657	
1.43556	-9.29516	3.73043	-10.0372	-7.42989	-4.05897	
1.44	-9.26034	3.82896	-10.0892	-7.64205	-4.17487	
1.44	-9.26694	3.83119	-10.0798	-7.63363	-4.17027	
1.448	-9.21332	4.00334	-10.173	-8.03383	-4.3889	
1.452	-9.18635	4.08512	-10.2272	-8.25466	-4.50954	
1.472	-9.09697	4.45575	-10.4879	-9.44811	-5.16153	
1.47556	-9.08295	4.51096	-10.54	-9.69045	-5.29392	
1.48	-9.07503	4.5787	-10.5964	-9.98516	-5.45492	
1.48	-9.0823	4.58194	-10.5875	-9.96987	-5.44656	
1.488	-9.07867	4.69174	-10.6828	-10.5161	-5.74499	
1.492	-9.07772	4.7377	-10.7327	-10.8114	-5.90628	
1.512	-9.13017	4.89076	-10.9207	-12.3204	-6.73065	
1.51556	-9.14501	4.89915	-10.945	-12.6092	-6.88844	
1.52	-9.17228	4.90581	-10.9636	-12.9457	-7.07227	
1.52	-9.17767	4.90998	-10.9584	-12.9229	-7.05982	
1.528	-9.2391	4.90079	-10.9681	-13.5139	-7.38269	
1.532	-9.27554	4.88277	-10.9554	-13.8084	-7.54358	
1.552	-9.52423	4.6805	-10.6952	-15.0321	-8.21209	
1.55556	-9.58164	4.62303	-10.6001	-15.2007	-8.30417	
1.56	-9.65534	4.54275	-10.4626	-15.3578	-8.38998	
1.56	-9.65278	4.54367	-10.4676	-15.3388	-8.37963	
1.568	-9.79407	4.37561	-10.1563	-15.508	-8.47205	
1.572	-9.8777	4.28316	-9.94016	-15.5037	-8.4697	
1.592	-10.3227	3.75355	-8.43486	-14.5969	-7.97432	
1.59556	-10.4199	3.66596	-8.06247	-14.2372	-7.77784	
1.6	-10.5241	3.53971	-7.56617	-13.703	-7.48596	
1.6	-10.5031	3.52215	-7.58195	-13.7063	-7.48777	
1.608	-10.6803	3.29936	-6.58762	-12.5007	-6.82916	
1.612	-10.7798	3.21202	-5.99799	-11.7005	-6.39202	
1.632	-11.2063	2.91869	-2.64032	-6.64639	-3.63094	
1.63556	-11.2949	2.93823	-1.98853	-5.61178	-3.06573	
1.64	-11.3754	2.94063	-1.11287	-4.17854	-2.28275	
1.64	-11.343	2.89648	-1.08101	-4.0914	-2.23514	
1.648	-11.4763	2.95591	0.526602	-1.40281	-0.766359	
1.652	-11.546	3.04748	1.34682	-0.00632836	-0.0034572	
1.672	-11.8927	3.75709	5.29608	6.61621	3.61445	
1.67556	-11.9542	3.94018	5.87078	7.5028	4.0988	
1.68	-12.0465	4.1852	6.69334	8.82473	4.82097	
1.68	-12.0629	4.18381	6.82482	9.10578	4.97451	
1.688	-12.2588	4.66387	8.23144	11.2705	6.15711	
1.692	-12.3617	4.94239	8.86044	12.1637	6.64506	
1.712	-12.9793	6.34967	11.6933	15.6328	8.54026	
1.71556	-13.07	6.57101	12.0868	16.0165	8.74986	
1.72	-13.2233	6.88742	12.6291	16.4856	9.00613	
1.72	-13.2735	6.93468	12.7044	16.5245	9.02739	
1.728	-13.5534	7.47155	13.6454	17.1793	9.38511	
1.732	-13.6801	7.72763	14.0767	17.3654	9.48674	
1.752	-14.0911	8.70368	16.2868	17.933	9.79685	
1.75556	-14.0971	8.80185	16.7006	18.024	9.84655	
1.76	-14.0447	8.90128	17.2201	18.0467	9.85897	
1.76	-14.0312	8.91189	17.2086	17.9511	9.80672	
1.768	-13.7659	8.97026	18.1911	17.9679	9.81594	
1.772	-13.5031	8.91484	18.7116	17.9501	9.80621	
1.792	-10.5829	7.7466	21.6327	17.9997	9.83329	
1.79556	-9.73679	7.35739	22.2382	18.061	9.86676	
1.8	-8.34941	6.72957	22.9605	18.1015	9.8889	
1.8	-8.21461	6.6824	22.8982	18.0441	9.85753	
1.808	-5.05245	5.24967	24.2149	18.13	9.90445	
1.812	-2.91998	4.2737	24.8162	18.1426	9.91137	
1.832	11.6277	-2.18288	26.9775	17.8671	9.76082	
1.83556	14.7597	-3.54374	26.9705	17.6373	9.63529	
1.84	19.158	-5.42811	26.9491	17.3371	9.47128	
1.84	19.4242	-5.53459	27.1084	17.413	9.51274	
1.848	27.5832	-8.9752	26.6281	16.6635	9.10331	
1.852	31.7341	-10.6945	25.8301	16.0343	8.7596	
1.872	47.8496	-17.11	19.7938	11.9101	6.50649	
1.87556	48.8347	-17.4252	18.1216	10.9138	5.96224	
1.88	50.9059	-18.184	16.3216	9.79769	5.3525	
1.88	52.1061	-18.7062	16.7085	9.97065	5.44699	
1.888	54.1774	-19.3824	13.4106	7.96091	4.34907	
1.892	54.4263	-19.3969	11.79	7.00276	3.82563	
1.912	52.2338	-18.1439	4.9942	2.95861	1.6163	
1.91556	51.7063	-17.8934	4.32859	2.54396	1.38977	
1.92	50.6291	-17.3972	3.17664	1.87207	1.02272	
1.92	50.1356	-17.1765	2.72522	1.62929	0.890088	
1.928	47.9151	-16.1891	0.919439	0.560821	0.306378	
1.932	46.9284	-15.757	0.24095	0.155464	0.0849304	
