t	xWAG	bWAG	
0.198	0.00259004	-0.00209273	
0.198889	0.00259004	-0.00209273	
0.2	0.00259004	-0.00209273	
0.2	0.00259004	-0.00209273	
0.2	0.00259004	-0.00209273	
0.202	0.00259004	-0.00209273	
0.203	0.00259004	-0.00209273	
0.208	0.00259004	-0.00209273	
0.208889	0.00259004	-0.00209273	
0.21	0.00259004	-0.00209273	
0.21	0.00259004	-0.00209273	
0.201449	0.00259004	-0.00209273	
0.202174	0.00259004	-0.00209273	
0.205797	0.00259004	-0.00209273	
0.206442	0.00259004	-0.00209273	
0.207247	0.00259004	-0.00209273	
0.207247	0.00259004	-0.00209273	
0.207247	0.00259004	-0.00209273	
0.207797	0.00259004	-0.00209273	
0.208073	0.00259004	-0.00209273	
0.209449	0.00259004	-0.00209273	
0.209694	0.00259004	-0.00209273	
0.21	0.00259004	-0.00209273	
0.21	0.00259004	-0.00209273	
0.21	0.00259004	-0.00209273	
0.212	0.00259004	-0.00209273	
0.213	0.00259004	-0.00209273	
0.218	0.00259003	-0.00209273	
0.218889	0.00259003	-0.00209273	
0.22	0.00259003	-0.00209273	
0.22	0.00259003	-0.00209273	
0.22	0.00259003	-0.00209273	
0.222	0.00259003	-0.00209273	
0.223	0.00259003	-0.00209273	
0.228	0.00259003	-0.00209272	
0.228889	0.00259003	-0.00209272	
0.23	0.00259002	-0.00209272	
0.23	0.00259003	-0.00209272	
0.221442	0.00259003	-0.00209273	
0.222163	0.00259003	-0.00209273	
0.225769	0.00259003	-0.00209273	
0.22641	0.00259003	-0.00209272	
0.227211	0.00259003	-0.00209272	
0.227211	0.00259003	-0.00209272	
0.227211	0.00259003	-0.00209272	
0.227769	0.00259003	-0.00209272	
0.228048	0.00259003	-0.00209272	
0.229442	0.00259003	-0.00209272	
0.22969	0.00259003	-0.00209272	
0.23	0.00259003	-0.00209272	
0.23	0.00259003	-0.00209272	
0.23	0.00259003	-0.00209272	
0.232	0.00259003	-0.00209272	
0.233	0.00259003	-0.00209272	
0.238	0.00259002	-0.00209272	
0.238889	0.00259002	-0.00209272	
0.24	0.00259002	-0.00209272	
0.24	0.00259002	-0.00209272	
0.24	0.00259002	-0.00209272	
0.242	0.00259002	-0.00209272	
