t	a1	a2	da1	da2	
0.15	0.00285874	-0.00315915	0.036783	-0.0407817	
0.15	0.00285672	-0.00315927	0.0367562	-0.0407824	
0.152	0.00293023	-0.00324083	0.0373033	-0.0412584	
0.153	0.00296822	-0.00328268	0.0376133	-0.0414937	
0.158	0.00316081	-0.00349305	0.0391642	-0.0426665	
0.158889	0.00319718	-0.00353097	0.0394312	-0.0428726	
0.16	0.00324114	-0.00357877	0.0398139	-0.0431307	
0.16	0.00323919	-0.00357889	0.0398474	-0.0431317	
0.162	0.00331888	-0.00366515	0.0405257	-0.0435952	
0.163	0.00336025	-0.00370933	0.0408864	-0.043824	
0.168	0.00356958	-0.00393125	0.0426525	-0.0449637	
0.168889	0.00360863	-0.00397121	0.0429215	-0.0451635	
0.17	0.00365663	-0.00402155	0.0433378	-0.0454139	
0.17	0.00365525	-0.00402168	0.043412	-0.0454153	
0.172	0.00374207	-0.00411251	0.0441459	-0.0458649	
0.173	0.00378714	-0.00415894	0.0445163	-0.0460865	
0.178	0.00401441	-0.00439208	0.0463075	-0.0471898	
0.178889	0.00405608	-0.00443401	0.0465619	-0.047383	
0.18	0.00410821	-0.0044868	0.0469655	-0.047625	
0.18	0.00410768	-0.00448695	0.0470546	-0.0476265	
0.182	0.00420179	-0.00458221	0.0477654	-0.048061	
0.183	0.00425044	-0.00463081	0.0481076	-0.0482748	
0.188	0.00449502	-0.00487479	0.049753	-0.0493388	
0.188889	0.00453911	-0.00491861	0.0499809	-0.0495249	
0.19	0.00459506	-0.00497379	0.0503349	-0.0497579	
0.19	0.00459539	-0.00497395	0.0504145	-0.0497592	
0.192	0.00469622	-0.00507347	0.0510393	-0.0501776	
0.193	0.00474804	-0.00512417	0.0513273	-0.050383	
0.198	0.00500783	-0.00537858	0.0527122	-0.0514052	
0.198889	0.00505404	-0.00542423	0.0529088	-0.051584	
0.2	0.00511319	-0.00548168	0.0531927	-0.0518075	
0.2	0.00511419	-0.00548186	0.053245	-0.0518086	
0.202	0.00522068	-0.00558548	0.0537494	-0.0522098	
0.203	0.00527506	-0.00563819	0.053973	-0.0524065	
0.208	0.0055472	-0.00590261	0.0550581	-0.0533851	
0.208889	0.00559523	-0.00595	0.0552257	-0.0535562	
0.21	0.00565685	-0.00600964	0.0554379	-0.0537699	
0.21	0.0056582	-0.00600983	0.0554544	-0.0537707	
0.212	0.00576911	-0.00611737	0.055836	-0.0541542	
0.213	0.00582542	-0.006172	0.0560012	-0.0543419	
0.218	0.00610703	-0.00644599	0.0568203	-0.0552756	
0.218889	0.00615662	-0.00649505	0.0569674	-0.0554389	
0.22	0.00622006	-0.00655678	0.0571227	-0.0556425	
0.22	0.0062214	-0.00655697	0.0571046	-0.055643	
0.222	0.00633561	-0.00666826	0.0573892	-0.0560083	
0.223	0.00639335	-0.00672472	0.0575142	-0.0561869	
0.228	0.00668217	-0.00700782	0.0581552	-0.057075	
0.228889	0.00673317	-0.00705848	0.0582926	-0.0572303	
0.23	0.00679798	-0.00712219	0.0584163	-0.0574237	
0.23	0.00679901	-0.00712238	0.0583733	-0.057424	
0.232	0.00691576	-0.00723723	0.0586041	-0.057771	
0.233	0.00697465	-0.00729544	0.0587128	-0.0579403	
0.238	0.00726945	-0.00758718	0.0592872	-0.0587823	
0.238889	0.00732181	-0.00763935	0.0594248	-0.0589294	
0.24	0.00738782	-0.00770495	0.0595446	-0.0591125	
0.24	0.00738837	-0.00770515	0.0594914	-0.0591127	
0.242	0.00750735	-0.00782337	0.0597153	-0.0594411	
0.243	0.00756734	-0.00788322	0.0598304	-0.0596011	
0.248	0.00786799	-0.00818315	0.0604403	-0.0603963	
0.248889	0.00792176	-0.00823675	0.0605848	-0.0605351	
0.25	0.00798904	-0.00830413	0.0607228	-0.0607077	
0.25	0.00798907	-0.00830433	0.0606749	-0.060708	
