t	a1	a2	da1	da2	
0.162	0.0035468	-0.00366234	0.0426292	-0.0435908	
0.163	0.00358954	-0.00370605	0.0428601	-0.0438203	
0.164	0.00363252	-0.00374998	0.0430904	-0.0440491	
0.165	0.00367572	-0.00379415	0.0433203	-0.0442771	
0.166	0.00371916	-0.00383854	0.0435498	-0.0445045	
0.167	0.00376282	-0.00388316	0.0437792	-0.0447311	
0.168	0.00380672	-0.003928	0.0440084	-0.0449571	
0.169	0.00385084	-0.00397307	0.0442376	-0.0451823	
0.17	0.00389519	-0.00401836	0.0444669	-0.0454068	
0.171	0.00393977	-0.00406388	0.0446963	-0.0456305	
0.172	0.00398458	-0.00410963	0.0449257	-0.0458536	
0.173	0.00402962	-0.00415559	0.0451554	-0.0460759	
0.174	0.00407489	-0.00420178	0.0453851	-0.0462975	
0.175	0.00412039	-0.00424818	0.045615	-0.0465183	
0.176	0.00416612	-0.00429481	0.045845	-0.0467384	
0.177	0.00421208	-0.00434166	0.046075	-0.0469578	
0.178	0.00425827	-0.00438873	0.0463049	-0.0471764	
0.179	0.00430469	-0.00443601	0.0465346	-0.0473942	
0.18	0.00435134	-0.00448352	0.0467641	-0.0476113	
0.181	0.00439822	-0.00453124	0.0469932	-0.0478276	
0.182	0.00444533	-0.00457917	0.0472218	-0.0480432	
0.183	0.00449267	-0.00462732	0.0474498	-0.048258	
0.184	0.00454023	-0.00467569	0.047677	-0.048472	
0.185	0.00458802	-0.00472427	0.0479034	-0.0486852	
0.186	0.00463604	-0.00477306	0.0481289	-0.0488977	
0.187	0.00468428	-0.00482206	0.0483533	-0.0491093	
0.188	0.00473274	-0.00487128	0.0485766	-0.0493202	
0.189	0.00478143	-0.0049207	0.0487988	-0.0495303	
0.19	0.00483034	-0.00497034	0.0490197	-0.0497395	
0.191	0.00487947	-0.00502018	0.0492394	-0.049948	
0.192	0.00492882	-0.00507023	0.0494579	-0.0501557	
0.193	0.00497838	-0.00512049	0.0496751	-0.0503626	
0.194	0.00502817	-0.00517096	0.0498911	-0.0505686	
0.195	0.00507816	-0.00522163	0.050106	-0.0507738	
0.196	0.00512838	-0.0052725	0.0503199	-0.0509783	
0.197	0.0051788	-0.00532358	0.0505327	-0.0511819	
0.198	0.00522944	-0.00537487	0.0507447	-0.0513847	
0.199	0.00528029	-0.00542635	0.0509559	-0.0515866	
0.2	0.00533135	-0.00547804	0.0511664	-0.0517877	
0.201	0.00538263	-0.00552993	0.0513764	-0.051988	
0.202	0.00543411	-0.00558201	0.0515858	-0.0521875	
0.203	0.0054858	-0.0056343	0.051795	-0.0523861	
0.204	0.0055377	-0.00568679	0.0520039	-0.0525839	
0.205	0.0055898	-0.00573947	0.0522126	-0.0527809	
0.206	0.00564212	-0.00579235	0.0524212	-0.052977	
0.207	0.00569465	-0.00584542	0.0526298	-0.0531723	
0.208	0.00574738	-0.00589869	0.0528384	-0.0533667	
0.209	0.00580032	-0.00595216	0.053047	-0.0535603	
0.21	0.00585348	-0.00600581	0.0532557	-0.053753	
0.211	0.00590684	-0.00605966	0.0534643	-0.0539449	
0.212	0.0059604	-0.0061137	0.0536729	-0.0541359	
0.213	0.00601418	-0.00616793	0.0538815	-0.0543261	
0.214	0.00606817	-0.00622235	0.0540898	-0.0545153	
0.215	0.00612236	-0.00627696	0.054298	-0.0547038	
0.216	0.00617676	-0.00633176	0.0545057	-0.0548913	
0.217	0.00623137	-0.00638675	0.0547131	-0.055078	
0.218	0.00628619	-0.00644192	0.0549199	-0.0552638	
0.219	0.00634121	-0.00649727	0.055126	-0.0554487	
0.22	0.00639644	-0.00655281	0.0553313	-0.0556327	
0.221	0.00645187	-0.00660854	0.0555358	-0.0558158	
0.222	0.00650751	-0.00666444	0.0557393	-0.055998	
0.223	0.00656335	-0.00672053	0.0559417	-0.0561793	
0.224	0.00661939	-0.0067768	0.0561429	-0.0563598	
0.225	0.00667564	-0.00683325	0.056343	-0.0565393	
0.226	0.00673208	-0.00688988	0.0565417	-0.0567179	
0.227	0.00678872	-0.00694669	0.0567392	-0.0568956	
0.228	0.00684556	-0.00700367	0.0569354	-0.0570724	
0.229	0.00690259	-0.00706083	0.0571303	-0.0572482	
0.23	0.00695982	-0.00711817	0.0573239	-0.0574232	
0.231	0.00701724	-0.00717568	0.0575163	-0.0575972	
0.232	0.00707485	-0.00723336	0.0577076	-0.0577703	
0.233	0.00713265	-0.00729122	0.0578978	-0.0579425	
0.234	0.00719064	-0.00734925	0.058087	-0.0581137	
0.235	0.00724882	-0.00740744	0.0582753	-0.058284	
0.236	0.00730719	-0.00746581	0.0584628	-0.0584534	
0.237	0.00736575	-0.00752435	0.0586496	-0.0586219	
0.238	0.00742449	-0.00758306	0.0588359	-0.0587894	
0.239	0.00748342	-0.00764193	0.0590217	-0.058956	
0.24	0.00754254	-0.00770097	0.0592071	-0.0591216	
0.241	0.00760184	-0.00776017	0.0593922	-0.0592863	
0.242	0.00766132	-0.00781954	0.059577	-0.05945	
0.243	0.00772099	-0.00787907	0.0597618	-0.0596128	
0.244	0.00778084	-0.00793876	0.0599463	-0.0597747	
0.245	0.00784088	-0.00799862	0.0601308	-0.0599356	
0.246	0.00790111	-0.00805864	0.0603152	-0.0600955	
0.247	0.00796151	-0.00811881	0.0604996	-0.0602545	
0.248	0.0080221	-0.00817914	0.0606837	-0.0604126	
0.249	0.00808288	-0.00823964	0.0608677	-0.0605697	
0.25	0.00814384	-0.00830028	0.0610515	-0.0607258	
0.251	0.00820498	-0.00836109	0.061235	-0.0608809	
0.252	0.00826631	-0.00842204	0.061418	-0.0610351	
0.253	0.00832782	-0.00848316	0.0616006	-0.0611883	
0.254	0.00838951	-0.00854442	0.0617825	-0.0613405	
0.255	0.00845138	-0.00860584	0.0619637	-0.0614918	
0.256	0.00851344	-0.0086674	0.0621442	-0.061642	
0.257	0.00857567	-0.00872912	0.0623237	-0.0617913	
0.258	0.00863808	-0.00879099	0.0625021	-0.0619396	
0.259	0.00870068	-0.008853	0.0626795	-0.0620869	
0.26	0.00876344	-0.00891516	0.0628557	-0.0622332	
0.261	0.00882639	-0.00897746	0.0630306	-0.0623785	
0.262	0.0088895	-0.00903992	0.0632042	-0.0625228	
0.263	0.00895279	-0.00910251	0.0633765	-0.0626661	
0.264	0.00901626	-0.00916525	0.0635475	-0.0628084	
0.265	0.00907989	-0.00922813	0.0637171	-0.0629497	
0.266	0.00914369	-0.00929115	0.0638854	-0.06309	
0.267	0.00920766	-0.00935431	0.0640524	-0.0632292	
0.268	0.00927179	-0.0094176	0.0642182	-0.0633675	
0.269	0.00933609	-0.00948104	0.0643828	-0.0635047	
0.27	0.00940056	-0.00954461	0.0645463	-0.0636409	
0.271	0.00946519	-0.00960832	0.0647089	-0.0637762	
0.272	0.00952998	-0.00967216	0.0648706	-0.0639103	
0.273	0.00959493	-0.00973614	0.0650314	-0.0640435	
0.274	0.00966004	-0.00980025	0.0651916	-0.0641757	
0.275	0.00972531	-0.00986449	0.0653512	-0.0643068	
0.276	0.00979074	-0.00992886	0.0655103	-0.0644369	
0.277	0.00985633	-0.00999337	0.065669	-0.064566	
0.278	0.00992208	-0.010058	0.0658274	-0.064694	
0.279	0.00998798	-0.0101228	0.0659854	-0.064821	
0.28	0.010054	-0.0101876	0.0661433	-0.064947	
0.281	0.0101203	-0.0102526	0.0663009	-0.065072	
0.282	0.0101867	-0.0103178	0.0664583	-0.0651959	
0.283	0.0102532	-0.010383	0.0666156	-0.0653188	
0.284	0.0103199	-0.0104484	0.0667726	-0.0654406	
0.285	0.0103867	-0.0105139	0.0669294	-0.0655614	
0.286	0.0104537	-0.0105795	0.0670859	-0.0656812	
0.287	0.0105209	-0.0106453	0.067242	-0.0657999	
0.288	0.0105882	-0.0107111	0.0673976	-0.0659176	
0.289	0.0106557	-0.0107771	0.0675527	-0.0660342	
0.29	0.0107233	-0.0108432	0.0677071	-0.0661498	
0.291	0.0107911	-0.0109094	0.0678608	-0.0662643	
0.292	0.0108591	-0.0109757	0.0680136	-0.0663778	
0.293	0.0109271	-0.0110422	0.0681655	-0.0664902	
0.294	0.0109954	-0.0111087	0.0683164	-0.0666015	
0.295	0.0110638	-0.0111754	0.0684661	-0.0667118	
0.296	0.0111323	-0.0112421	0.0686146	-0.066821	
0.297	0.011201	-0.011309	0.0687618	-0.0669291	
0.298	0.0112698	-0.011376	0.0689077	-0.0670362	
0.299	0.0113388	-0.0114431	0.0690522	-0.0671422	
0.3	0.0114079	-0.0115103	0.0691953	-0.0672471	
0.301	0.0114772	-0.0115776	0.0693371	-0.0673509	
0.302	0.0115466	-0.011645	0.0694775	-0.0674537	
0.303	0.0116162	-0.0117125	0.0696166	-0.0675554	
0.304	0.0116858	-0.0117801	0.0697543	-0.067656	
0.305	0.0117557	-0.0118478	0.0698909	-0.0677555	
0.306	0.0118256	-0.0119156	0.0700263	-0.0678539	
0.307	0.0118957	-0.0119835	0.0701606	-0.0679513	
0.308	0.0119659	-0.0120515	0.070294	-0.0680476	
0.309	0.0120363	-0.0121196	0.0704264	-0.0681428	
0.31	0.0121068	-0.0121878	0.0705581	-0.0682369	
0.311	0.0121774	-0.0122561	0.0706891	-0.0683299	
0.312	0.0122482	-0.0123244	0.0708195	-0.0684218	
0.313	0.0123191	-0.0123929	0.0709494	-0.0685126	
0.314	0.0123901	-0.0124615	0.0710788	-0.0686024	
0.315	0.0124612	-0.0125301	0.0712079	-0.068691	
0.316	0.0125325	-0.0125989	0.0713366	-0.0687786	
0.317	0.0126039	-0.0126677	0.071465	-0.0688651	
0.318	0.0126754	-0.0127366	0.0715931	-0.0689505	
0.319	0.0127471	-0.0128056	0.071721	-0.0690347	
0.32	0.0128189	-0.0128747	0.0718486	-0.0691179	
0.321	0.0128908	-0.0129438	0.0719758	-0.0692	
0.322	0.0129628	-0.0130131	0.0721027	-0.069281	
0.323	0.013035	-0.0130824	0.0722292	-0.0693609	
0.324	0.0131073	-0.0131518	0.0723551	-0.0694397	
0.325	0.0131797	-0.0132213	0.0724805	-0.0695174	
0.326	0.0132522	-0.0132908	0.0726051	-0.069594	
0.327	0.0133249	-0.0133604	0.072729	-0.0696695	
0.328	0.0133977	-0.0134301	0.072852	-0.0697438	
0.329	0.0134706	-0.0134999	0.0729741	-0.0698171	
0.33	0.0135436	-0.0135698	0.0730951	-0.0698892	
0.331	0.0136168	-0.0136397	0.0732149	-0.0699602	
0.332	0.0136901	-0.0137097	0.0733335	-0.0700301	
0.333	0.0137635	-0.0137798	0.0734508	-0.0700989	
0.334	0.013837	-0.0138499	0.0735668	-0.0701666	
0.335	0.0139106	-0.0139201	0.0736814	-0.0702331	
0.336	0.0139843	-0.0139904	0.0737946	-0.0702985	
0.337	0.0140582	-0.0140607	0.0739064	-0.0703628	
0.338	0.0141321	-0.0141311	0.0740167	-0.070426	
0.339	0.0142062	-0.0142015	0.0741257	-0.070488	
0.34	0.0142804	-0.0142721	0.0742334	-0.0705489	
0.341	0.0143547	-0.0143426	0.0743398	-0.0706087	
0.342	0.0144291	-0.0144133	0.074445	-0.0706674	
0.343	0.0145036	-0.014484	0.074549	-0.0707249	
0.344	0.0145782	-0.0145547	0.074652	-0.0707813	
0.345	0.0146529	-0.0146255	0.074754	-0.0708366	
0.346	0.0147277	-0.0146964	0.0748552	-0.0708908	
0.347	0.0148026	-0.0147673	0.0749556	-0.0709438	
0.348	0.0148776	-0.0148383	0.0750553	-0.0709957	
0.349	0.0149527	-0.0149093	0.0751544	-0.0710465	
0.35	0.0150279	-0.0149804	0.075253	-0.0710961	
0.351	0.0151032	-0.0150515	0.0753511	-0.0711446	
0.352	0.0151786	-0.0151227	0.0754487	-0.071192	
0.353	0.0152541	-0.0151939	0.0755461	-0.0712382	
0.354	0.0153297	-0.0152651	0.075643	-0.0712834	
0.355	0.0154054	-0.0153365	0.0757396	-0.0713274	
0.356	0.0154812	-0.0154078	0.0758359	-0.0713702	
0.357	0.0155571	-0.0154792	0.0759317	-0.0714119	
0.358	0.015633	-0.0155506	0.0760271	-0.0714525	
0.359	0.0157091	-0.0156221	0.0761221	-0.071492	
0.36	0.0157853	-0.0156936	0.0762165	-0.0715303	
0.361	0.0158615	-0.0157652	0.0763103	-0.0715675	
0.362	0.0159379	-0.0158367	0.0764034	-0.0716036	
0.363	0.0160143	-0.0159084	0.0764957	-0.0716385	
0.364	0.0160909	-0.01598	0.0765871	-0.0716722	
0.365	0.0161675	-0.0160517	0.0766775	-0.0717049	
0.366	0.0162442	-0.0161234	0.0767669	-0.0717364	
0.367	0.0163211	-0.0161952	0.0768551	-0.0717667	
0.368	0.016398	-0.016267	0.076942	-0.0717959	
0.369	0.0164749	-0.0163388	0.0770277	-0.071824	
0.37	0.016552	-0.0164106	0.077112	-0.0718509	
0.371	0.0166292	-0.0164825	0.077195	-0.0718766	
0.372	0.0167064	-0.0165544	0.0772765	-0.0719012	
0.373	0.0167837	-0.0166263	0.0773566	-0.0719247	
0.374	0.0168611	-0.0166982	0.0774353	-0.071947	
0.375	0.0169386	-0.0167702	0.0775126	-0.0719682	
0.376	0.0170161	-0.0168421	0.0775885	-0.0719882	
0.377	0.0170938	-0.0169141	0.0776631	-0.0720071	
0.378	0.0171715	-0.0169862	0.0777364	-0.0720248	
0.379	0.0172492	-0.0170582	0.0778086	-0.0720413	
0.38	0.0173271	-0.0171302	0.0778797	-0.0720568	
0.381	0.017405	-0.0172023	0.0779497	-0.072071	
0.382	0.017483	-0.0172744	0.0780188	-0.0720842	
0.383	0.017561	-0.0173465	0.078087	-0.0720962	
0.384	0.0176391	-0.0174186	0.0781545	-0.072107	
0.385	0.0177173	-0.0174907	0.0782213	-0.0721167	
0.386	0.0177956	-0.0175628	0.0782876	-0.0721252	
0.387	0.0178739	-0.0176349	0.0783532	-0.0721326	
0.388	0.0179523	-0.0177071	0.0784184	-0.0721389	
0.389	0.0180307	-0.0177792	0.0784832	-0.072144	
0.39	0.0181093	-0.0178514	0.0785475	-0.072148	
0.391	0.0181878	-0.0179235	0.0786114	-0.0721508	
0.392	0.0182665	-0.0179957	0.0786749	-0.0721525	
0.393	0.0183452	-0.0180678	0.078738	-0.072153	
0.394	0.018424	-0.01814	0.0788006	-0.0721524	
0.395	0.0185028	-0.0182121	0.0788627	-0.0721507	
0.396	0.0185817	-0.0182843	0.0789242	-0.0721478	
0.397	0.0186606	-0.0183564	0.0789851	-0.0721438	
0.398	0.0187397	-0.0184286	0.0790452	-0.0721386	
0.399	0.0188187	-0.0185007	0.0791046	-0.0721322	
0.4	0.0188979	-0.0185728	0.0791631	-0.0721248	
0.401	0.0189771	-0.0186449	0.0792206	-0.0721161	
0.402	0.0190563	-0.018717	0.079277	-0.0721064	
0.403	0.0191356	-0.0187891	0.0793323	-0.0720955	
0.404	0.019215	-0.0188612	0.0793863	-0.0720834	
0.405	0.0192944	-0.0189333	0.0794391	-0.0720702	
0.406	0.0193738	-0.0190054	0.0794906	-0.0720558	
0.407	0.0194534	-0.0190774	0.0795406	-0.0720403	
0.408	0.0195329	-0.0191495	0.0795893	-0.0720236	
0.409	0.0196125	-0.0192215	0.0796365	-0.0720058	
0.41	0.0196922	-0.0192935	0.0796823	-0.0719868	
0.411	0.0197719	-0.0193654	0.0797267	-0.0719667	
0.412	0.0198517	-0.0194374	0.0797697	-0.0719455	
0.413	0.0199314	-0.0195093	0.0798113	-0.0719231	
0.414	0.0200113	-0.0195812	0.0798517	-0.0718995	
0.415	0.0200911	-0.0196531	0.0798909	-0.0718748	
0.416	0.0201711	-0.019725	0.0799289	-0.071849	
0.417	0.020251	-0.0197968	0.0799658	-0.071822	
0.418	0.020331	-0.0198686	0.0800018	-0.0717939	
0.419	0.020411	-0.0199404	0.0800368	-0.0717646	
0.42	0.0204911	-0.0200122	0.0800711	-0.0717342	
0.421	0.0205711	-0.0200839	0.0801046	-0.0717026	
0.422	0.0206513	-0.0201556	0.0801375	-0.07167	
0.423	0.0207314	-0.0202272	0.0801697	-0.0716361	
0.424	0.0208116	-0.0202988	0.0802015	-0.0716012	
0.425	0.0208918	-0.0203704	0.0802327	-0.0715651	
0.426	0.0209721	-0.020442	0.0802634	-0.0715279	
0.427	0.0210524	-0.0205135	0.0802937	-0.0714895	
0.428	0.0211327	-0.020585	0.0803236	-0.07145	
0.429	0.021213	-0.0206564	0.0803529	-0.0714094	
0.43	0.0212934	-0.0207278	0.0803818	-0.0713677	
0.431	0.0213738	-0.0207991	0.0804102	-0.0713248	
0.432	0.0214542	-0.0208704	0.0804379	-0.0712808	
0.433	0.0215346	-0.0209417	0.0804651	-0.0712356	
0.434	0.0216151	-0.0210129	0.0804915	-0.0711894	
0.435	0.0216956	-0.0210841	0.080517	-0.071142	
0.436	0.0217761	-0.0211552	0.0805418	-0.0710934	
0.437	0.0218567	-0.0212262	0.0805655	-0.0710438	
0.438	0.0219373	-0.0212973	0.0805882	-0.070993	
0.439	0.0220179	-0.0213682	0.0806098	-0.0709411	
0.44	0.0220985	-0.0214391	0.0806302	-0.070888	
0.441	0.0221791	-0.02151	0.0806493	-0.0708338	
0.442	0.0222598	-0.0215808	0.0806671	-0.0707785	
0.443	0.0223405	-0.0216516	0.0806835	-0.0707221	
0.444	0.0224212	-0.0217223	0.0806986	-0.0706646	
0.445	0.0225019	-0.0217929	0.0807122	-0.0706059	
0.446	0.0225826	-0.0218635	0.0807244	-0.0705461	
0.447	0.0226633	-0.021934	0.0807352	-0.0704851	
0.448	0.0227441	-0.0220044	0.0807446	-0.0704231	
0.449	0.0228248	-0.0220748	0.0807527	-0.0703599	
0.45	0.0229056	-0.0221452	0.0807595	-0.0702956	
0.451	0.0229863	-0.0222154	0.080765	-0.0702302	
